"","AG","AI","AR","BE","BL","BS","FR","GE","GL","GR","JU","LU","NE","NW","OW","SG","SH","SO","SZ","TG","TI","UR","VD","VS","ZG","ZH"
"AG",990059.605,NA,3.703,18316.321,46718.562,16170.835,237.888,NA,51.973,NA,385.011,64347.997,97.135,630.916,334.993,402.623,465.247,68611.522,2965.2,385.349,22.977,65.849,40.241,79.819,14137.736,172967.37
"AI",NA,11337.242,7837.314,NA,NA,NA,NA,NA,3.376,6.565,NA,NA,NA,NA,NA,13251.474,0.304,NA,5.558,535.397,NA,NA,NA,NA,NA,48.607
"AR",3.703,7837.314,29729.422,NA,NA,NA,NA,NA,32.136,11.474,NA,NA,NA,NA,NA,69968.2,4.728,NA,54.368,5376.356,NA,NA,NA,NA,1.218,565.734
"BE",18316.321,NA,NA,1612230.865,3365.318,7000.458,68439.5,597.164,NA,141.335,60524.095,22991.092,24166.366,274.174,3400.181,NA,NA,99504.388,54.429,NA,19.937,37.194,12276.014,5866.482,124.198,14508.657
"BL",46718.562,NA,NA,3365.318,336042.187,147061.025,38.907,NA,NA,NA,6325.987,1035.383,45.244,16.731,10.439,NA,53.779,47471.597,17.893,NA,NA,NA,NA,16.677,31.706,1457.48
"BS",16170.835,NA,NA,7000.458,147061.025,175902.438,NA,NA,NA,NA,1098.753,1713.78,NA,9.536,5.935,NA,630.25,13759.393,14.304,NA,NA,NA,NA,25.07,18.03,5987.121
"FR",237.888,NA,NA,68439.502,38.907,NA,469339.818,1132.112,NA,NA,328.403,102.562,4751.879,NA,NA,NA,NA,450.22,NA,NA,NA,NA,83344.71,1201.264,NA,NA
"GE",NA,NA,NA,597.164,NA,NA,1132.112,880201.051,NA,NA,190.896,NA,1066.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,73108.928,139.797,NA,NA
"GL",51.973,3.376,32.136,NA,NA,NA,NA,NA,48988.075,584.793,NA,19.877,NA,2.973,0.204,11796.054,0.859,NA,7262.914,26.571,0.925,465.545,NA,NA,131.555,3151.717
"GR",NA,6.565,11.474,141.335,NA,NA,NA,NA,584.793,302427.556,NA,88.503,NA,8.653,0.078,27224.217,NA,NA,342.789,6.929,11751.161,807.904,NA,5.419,14.87,4257.192
"JU",385.011,NA,NA,60524.096,6325.987,1098.753,328.405,190.896,NA,NA,148698.665,142.374,9063.624,NA,NA,NA,77.871,12723.404,NA,NA,NA,NA,1982.502,16.501,NA,829.999
"LU",64347.999,NA,NA,22991.092,1035.383,1713.78,102.562,NA,19.877,88.503,142.374,583438.384,8.951,24860.798,13413.306,119.51,90.928,9532.413,17882.302,15.14,918.246,1637.635,37.134,51.215,35197.558,13593.01
"NE",97.135,NA,NA,24166.366,45.244,NA,4751.879,1066.467,NA,NA,9063.624,8.951,293561.98,NA,NA,NA,NA,1475.879,NA,NA,NA,NA,21098.804,10.381,NA,NA
"NW",630.916,NA,NA,274.174,16.731,9.536,NA,NA,2.973,8.653,NA,24860.798,NA,44548.462,9933.888,2.417,NA,88.891,1247.367,NA,374.491,5841.014,NA,3.606,1238.243,305.59
"OW",334.993,NA,NA,3400.181,10.439,5.935,NA,NA,0.204,0.078,NA,13413.306,NA,9933.888,39413.705,1.228,NA,51.432,278.284,NA,35.856,655.892,NA,10.966,685.915,199.129
"SG",402.623,13251.474,69968.2,NA,NA,NA,NA,NA,11796.054,27224.217,NA,119.51,NA,2.417,1.228,704534.934,195.068,32.481,24164.623,94310.68,30.211,11.158,NA,NA,578.647,67282.861
"SH",465.247,0.304,4.728,NA,53.779,630.25,NA,NA,0.859,NA,77.871,90.928,NA,NA,NA,195.068,88215.392,21.693,9.957,9571.775,NA,NA,NA,NA,24.248,31993.031
"SO",68611.52,NA,NA,99504.391,47471.599,13759.393,450.217,NA,NA,NA,12723.404,9532.413,1475.879,88.891,51.432,32.481,21.693,315748.116,80.044,33.743,NA,4.181,235.195,80.252,131.979,8602.797
"SZ",2965.2,5.558,54.368,54.429,17.893,14.304,NA,NA,7262.914,342.789,NA,17882.302,NA,1247.367,278.284,24164.623,9.957,80.044,175527.036,81.798,989.7,5503.779,NA,0.289,19206.121,51258.062
"TG",385.349,535.397,5376.356,NA,NA,NA,NA,NA,26.571,6.929,NA,15.14,NA,NA,NA,94310.68,9571.773,33.743,81.798,349879.534,NA,NA,NA,2.688,60.625,67618.084
"TI",22.977,NA,NA,19.937,NA,NA,NA,NA,0.925,11751.161,NA,918.246,NA,374.491,35.856,30.211,NA,NA,989.7,NA,802656.383,4058.117,35.906,1403.643,237.712,360.204
"UR",65.849,NA,NA,37.194,NA,NA,NA,NA,465.545,807.904,NA,1637.635,NA,5841.014,655.892,11.158,NA,4.181,5503.779,NA,4058.117,45181.369,NA,399.228,653.827,208.139
"VD",40.241,NA,NA,12276.014,NA,NA,83344.704,73108.928,NA,NA,1982.502,37.134,21098.804,NA,NA,NA,NA,235.195,NA,NA,35.906,NA,1351335.029,44979.306,NA,NA
"VS",79.819,NA,NA,5866.482,16.677,25.07,1201.264,139.797,NA,5.419,16.501,51.215,10.381,3.606,10.966,NA,NA,80.252,0.289,2.688,1403.643,399.228,44979.306,579899.356,0.832,61.498
"ZG",14137.738,NA,1.218,124.198,31.706,18.03,NA,NA,131.555,14.87,NA,35197.558,NA,1238.243,685.915,578.647,24.248,131.979,19206.121,60.625,237.712,653.827,NA,0.832,143924.425,39199.068
"ZH",172967.371,48.607,565.734,14508.657,1457.48,5987.121,NA,NA,3151.717,4257.192,829.999,13593.01,NA,305.59,199.129,67282.862,31993.031,8602.797,51258.062,67618.085,360.204,208.139,NA,61.498,39199.069,2602661.413
